genre,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11
jazz,0.0053857424217879655,0.0033583203705549454,0.0033649637189242273,0.0033269023333771515,0.0032894048658061517,0.0033939596518951717,0.0033277615498522374,0.003184438819533776,0.003118241856044474,0.0031420151066604385,0.003023360115757219,0.003000658367381596
jazz,0.005293136729859493,0.003491324790010971,0.003196638180856451,0.00321379739641568,0.003394769067855015,0.0035604438794793985,0.003354661623786418,0.003397467917203208,0.003464039084406756,0.0037119234897716987,0.0037443262774272956,0.0034930996380643704
classical,0.005225035561696343,0.0034578741194673038,0.0036325756468800433,0.0034753375730238703,0.003484792659816381,0.0036712767745987244,0.0036425777988818566,0.0035951092132042663,0.0036118876030643756,0.0036461253947544688,0.0034982147091085704,0.003533997085116645
jazz,0.005678550927959326,0.002602084718996032,0.0025401263303804285,0.0027805121628218543,0.002912661479088547,0.0033470324298896887,0.0028237076338357542,0.0032422148932525156,0.0036696022619251483,0.0028654148702838586,0.003206163821886012,0.004726459880646771
jazz,0.005292047855358505,0.0026852837429636235,0.0028792310689062686,0.0036815997259387868,0.002951855490250427,0.002586224159180841,0.002832550955927894,0.0026006826642071025,0.0025887629880777356,0.0029347717698916345,0.0029683373990534887,0.002691942036691961
jazz,0.005617760280743941,0.0032930847708291544,0.0034727894060557823,0.003556998067862799,0.0038687336849584793,0.0034732768422167876,0.0030901295952911437,0.0033089452935138766,0.003355264691094186,0.0035215892087837597,0.003174502692816846,0.0030299695318000454
jazz,0.005907066064230213,0.00309668143260677,0.003352159519203086,0.003153009027136082,0.0030417328945727584,0.0031575710656259423,0.00324199118329316,0.003351780062538021,0.0032935198793440533,0.0030198934050684953,0.0036116782915002208,0.0033636425600917694
jazz,0.004954905484203895,0.002738984641796969,0.0026961902257647374,0.0026898754633128065,0.0027138118144299033,0.0027341046039423052,0.0027199051913880342,0.003174560363161412,0.0029420205764786865,0.0025818717244622657,0.002656041882230874,0.002919369757316065
jazz,0.005374131527858221,0.003115515424714769,0.0030952785594522735,0.002791087921460719,0.003613331905052976,0.003059390382991511,0.003049247909185454,0.003032464718482239,0.003496647479807896,0.0033052862678661617,0.0030006092538582877,0.0038434831147485943
jazz,0.004826948702552283,0.00343595038643527,0.0031714054468374706,0.0032095401899372112,0.0031419369354471816,0.0027091256872367486,0.0027631435056128537,0.002965052578557798,0.003347149287008939,0.0039990281011038015,0.0038639977477336845,0.0033754681411771546
jazz,0.004814882023917958,0.003070280156995511,0.0030305990533040076,0.002924648284510328,0.0032515036405684756,0.002926469697014713,0.0029233309221367437,0.0028590553916629713,0.0028503409359559155,0.0028285887597523725,0.0033295493450270883,0.004321931818637584
jazz,0.005009449609174639,0.0031499208028664683,0.003566610848290667,0.004195227732299758,0.004068046913914165,0.0037115533601969264,0.0033201485738105245,0.0033895695504683734,0.003596237110418872,0.0035072373296191057,0.0037348609795531287,0.0034315933325356554
jazz,0.005231330415209908,0.003436598517615244,0.003570996402894577,0.0033978394981311506,0.0031422666177598076,0.004031596671536133,0.0034182571799475647,0.0038494551110050514,0.0032015824795975202,0.0029744005143078835,0.0031676725027266206,0.0029882811035959068
classical,0.004882189363895481,0.003015327360525692,0.002874907404688099,0.002984189707362179,0.003033478503455036,0.002884846580838224,0.0028527838281956147,0.003041574917127543,0.003272114283750125,0.003300175097858972,0.003370334005765417,0.0032577587215168106
jazz,0.005278517480466229,0.0032712833087284636,0.0035628864023897924,0.0036437773992997486,0.003585505749766989,0.0038297996087464097,0.0033598649942401084,0.003371180794009414,0.0033536756328339462,0.003292603936810386,0.003954972600761947,0.0030098487102314755
jazz,0.005942454508313328,0.0038206109192430045,0.003183646118338964,0.003113416881762137,0.0031550281732219765,0.0037797490523939913,0.0033899745743756573,0.0038577054576347885,0.0035722676103195536,0.003474521559468355,0.0038742699830117333,0.002841845948191288
jazz,0.006774935452074059,0.0032159144254511533,0.002879922285212001,0.0028180699395257626,0.002599960042125331,0.002762188386591725,0.0028477321951491177,0.00275571334567399,0.002637575398492733,0.003049171696394857,0.003604521515339557,0.004882750467748378
jazz,0.005712506168147033,0.003976114460656382,0.003642469931654214,0.0032988114357325356,0.003020376945103269,0.0030261907796869016,0.002947267579564556,0.003378557312765895,0.003039370555993147,0.0034250312738859237,0.0034006946477322304,0.003437394680073974
jazz,0.005301855856954753,0.0032904115559026646,0.0028318276221660633,0.002449791472881047,0.002377085788618032,0.002420399772480257,0.00239587437066833,0.002355676885354932,0.0028846776827359537,0.003192880257470939,0.003710846759469201,0.0026390438494144955
jazz,0.005630789544652132,0.0035444405520620543,0.003478684163630158,0.0033553461408768553,0.0036348812608514164,0.0029954122396962973,0.00302185612977384,0.0031990982606937253,0.0037970281027280566,0.003617565458800717,0.0033999382402427817,0.0032572750192058487
jazz,0.0052400968208886735,0.0030704088885912884,0.002907805350781957,0.002799764658334503,0.002831214313071199,0.003318356728888128,0.0026897835323059704,0.002825830510470404,0.003916328215535438,0.003690060477556267,0.0032997430728614724,0.003162831935669289
jazz,0.006072121291957732,0.0031807029972740477,0.0036814068152807517,0.002799220366305361,0.002586223679200695,0.0036904998215707744,0.0028307687063455363,0.0025015826960849523,0.003014179339615595,0.0033233721806191882,0.002875733477264117,0.0035022561725273887
